DATE,PRCP,TMAX,WEEKDAY,DAY,DOGL,HAS_DOGL_HAPPENED
Bullshit,0,63,4,23,1,0
5/1/2009,0.36,68,6,1,0,0
5/2/2009,0.02,55,7,2,0,0
5/3/2009,0,64,1,3,0,0
5/4/2009,0,71,2,4,0,0
5/5/2009,0,71,3,5,0,0
5/6/2009,0.01,73,4,6,0,0
5/7/2009,0.05,74,5,7,0,0
5/8/2009,0.02,75,6,8,0,0
5/9/2009,0.05,76,7,9,0,0
5/10/2009,0,59,1,10,0,0
5/11/2009,0,64,2,11,0,0
5/12/2009,0,62,3,12,0,0
5/13/2009,0,71,4,13,0,0
5/14/2009,0.97,71,5,14,0,0
5/15/2009,0,67,6,15,0,0
5/16/2009,0.17,65,7,16,0,0
5/17/2009,0,60,1,17,0,0
5/18/2009,0,59,2,18,0,0
5/19/2009,0,68,3,19,0,0
5/20/2009,0,79,4,20,1,0
5/21/2009,0,85,5,21,0,1
5/22/2009,0,84,6,22,0,1
5/23/2009,0,75,7,23,0,1
5/24/2009,0.15,83,1,24,0,1
5/25/2009,0,80,2,25,0,1
5/26/2009,0.01,76,3,26,0,1
5/27/2009,0.46,84,4,27,0,1
5/28/2009,0.48,78,5,28,0,1
5/29/2009,0,59,6,29,0,1
5/30/2009,0,69,7,30,0,1
5/31/2009,0,74,1,31,0,1
5/1/2010,0,79,7,1,0,0
5/2/2010,0.52,79,1,2,0,0
5/3/2010,0,73,2,3,0,0
5/4/2010,0,73,3,4,0,0
5/5/2010,0,78,4,5,0,0
5/6/2010,0,70,5,6,0,0
5/7/2010,0,64,6,7,0,0
5/8/2010,1.15,52,7,8,0,0
5/9/2010,0.03,43,1,9,0,0
5/10/2010,0,55,2,10,0,0
5/11/2010,0.32,62,3,11,0,0
5/12/2010,0.81,50,4,12,0,0
5/13/2010,0.17,53,5,13,0,0
5/14/2010,1.11,71,6,14,0,0
5/15/2010,0,65,7,15,0,0
5/16/2010,0,67,1,16,0,0
5/17/2010,0,69,2,17,0,0
5/18/2010,0,69,3,18,0,0
5/19/2010,0,68,4,19,1,0
5/20/2010,0,79,5,20,0,1
5/21/2010,0.12,84,6,21,0,1
5/22/2010,1.05,72,7,22,0,1
5/23/2010,0,72,1,23,0,1
5/24/2010,0,88,2,24,0,1
5/25/2010,0,93,3,25,0,1
5/26/2010,0,88,4,26,0,1
5/27/2010,0,92,5,27,0,1
5/28/2010,0,83,6,28,0,1
5/29/2010,0,84,7,29,0,1
5/30/2010,0,89,1,30,0,1
